"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@BINABISWAS read either of my two books #WhyIAmAHindu and #TheHinduWay for your answer",FALSE,37,"BINABISWAS",2020-02-21 10:53:04,FALSE,"1230727555402960896","1230807644257914880","303096984","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",2,FALSE,FALSE,NA,NA
"@kabirwalia17 The point is i didn't. I quoted a published source from 2011 of an RSS leader making that comment. Th… https://t.co/lAI2i93lQo",FALSE,53,"kabirwalia17",2020-02-21 10:50:52,TRUE,"1230757904854073345","1230807092132343809","158584328","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",4,FALSE,FALSE,NA,NA
"I am all pervasive, without attributes,without form, beyond the senses. I have no attachment to the world,nor to sa… https://t.co/XaLxnmEFIz",FALSE,659,"ShashiTharoor",2020-02-21 10:45:05,TRUE,"1230804384931401731","1230805636138459136","24705126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",95,FALSE,FALSE,NA,NA
"<U+0905><U+0939><U+0902> <U+0928><U+093F><U+0930><U+094D><U+0935><U+093F><U+0915><U+0932><U+094D><U+092A><U+094B> <U+0928><U+093F><U+0930><U+093E><U+0915><U+093E><U+0930> <U+0930><U+0942><U+092A><U+094B>
<U+0935><U+093F><U+092D><U+0941><U+0924><U+094D><U+0935><U+093E><U+091A> <U+0938><U+0930><U+094D><U+0935><U+0924><U+094D><U+0930> <U+0938><U+0930><U+094D><U+0935><U+0947><U+0928><U+094D><U+0926><U+094D><U+0930><U+093F><U+092F><U+093E><U+0923><U+093E><U+092E><U+094D> <U+0964> 
<U+0928> <U+091A><U+093E><U+0938><U+0919><U+094D><U+0917><U+0924><U+0902> <U+0928><U+0948><U+0935> <U+092E><U+0941><U+0915><U+094D><U+0924><U+093F><U+0930><U+094D><U+0928> <U+092E><U+0947><U+092F><U+0903>, 
<U+091A><U+093F><U+0926><U+093E><U+0928><U+0928><U+094D><U+0926><U+0930><U+0942><U+092A><U+0903> <U+0936><U+093F>… https://t.co/V6WCxRaHaK",FALSE,741,"ShashiTharoor",2020-02-21 10:40:07,TRUE,"1230745298261045249","1230804384931401731","24705126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",100,FALSE,FALSE,NA,NA
"RT @INCTharoorian: @ShashiTharoor ""We believe in a diverse, inclusive India that celebrates its pluralism as a strength, not a barrier; one…",FALSE,0,NA,2020-02-21 08:11:51,FALSE,NA,"1230767073829146624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",23,TRUE,FALSE,NA,NA
"RT @INCTharoorian: @ShashiTharoor ""The ideal of unity has given way to one of uniformity; patriotism has been redefined as chauvinism; inde…",FALSE,0,NA,2020-02-21 08:11:44,FALSE,NA,"1230767043873345537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",15,TRUE,FALSE,NA,NA
"RT @INCTharoorian: @ShashiTharoor ""What we want in India is unity. You want uniformity.

We believe in an India that unites our people. You…",FALSE,0,NA,2020-02-21 08:11:30,FALSE,NA,"1230766984150695936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",27,TRUE,FALSE,NA,NA
"The sheer irony of Trump wanting to build a wall to keep foreigners out &amp; foreigners building a wall to keep  Trump… https://t.co/ImPq0ZAw2I",FALSE,4603,NA,2020-02-21 08:03:25,TRUE,NA,"1230764950559182848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",1378,FALSE,FALSE,NA,NA
"For some bhakts who only see Lord Shiva as power &amp; the trishul as a weapon, a little jnana might be in order! https://t.co/O9rPCgQHxP",FALSE,9846,NA,2020-02-21 06:45:19,FALSE,NA,"1230745298261045249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",1608,FALSE,FALSE,NA,NA
"Someone better tell @realDonaldTrump that th entire population ofAhmedabad—every man,woman&amp;child, incl those too ol… https://t.co/f6WfIQi8CU",FALSE,2470,NA,2020-02-21 06:30:57,TRUE,NA,"1230741679394525184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",475,FALSE,FALSE,NA,NA
"This Government is squandering the hard-won unity of the country built up over seven decades, based on mutual respe… https://t.co/3DoeD3JCKa",FALSE,1138,NA,2020-02-21 06:22:03,TRUE,NA,"1230739440663818240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",302,FALSE,FALSE,NA,NA
"On the Auspicious Day of Maha Shivratri, May The Lord Fulfil All your wishes and Bless you with a Happy Life. Happy… https://t.co/mgc8HQILfA",FALSE,1867,NA,2020-02-21 04:24:21,TRUE,NA,"1230709820367392768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",143,FALSE,FALSE,NA,NA
"belated RT of an important analysis that explains how Indian protectionism is undermining our country's place ion t… https://t.co/1mhcJrgbke",FALSE,148,NA,2020-02-20 16:28:00,TRUE,NA,"1230529545612083200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",19,FALSE,FALSE,NA,NA
"A dismaying compilation of some (just a few) of the PM's many egregious misstatements: https://t.co/bYzyg70KIZ
He i… https://t.co/FGkcVNtV5L",FALSE,702,NA,2020-02-20 16:26:46,TRUE,NA,"1230529236022132737",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",177,FALSE,FALSE,NA,NA
"For three decades, India's self-branding as the world’s fastest-growing free-market democracy worked, w/world leade… https://t.co/vgDMHlHnuk",FALSE,508,NA,2020-02-20 16:16:34,TRUE,NA,"1230526667375800320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",117,FALSE,FALSE,NA,NA
"A discussion with @utterflea on #TheHinduWay: https://t.co/C86JlFMLF7",FALSE,96,NA,2020-02-20 15:53:51,FALSE,NA,"1230520951474835457",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",19,FALSE,FALSE,NA,NA
"A discussion of digital policy, including internet showdowns and intermediary rules: https://t.co/s7s3HDVWY6",FALSE,179,NA,2020-02-20 15:52:15,FALSE,NA,"1230520547198423040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",35,FALSE,FALSE,NA,NA
"Badri Raina on hate politics as an integral part of the propagation of BJP's ideology under the present regime:… https://t.co/NJCGijTuiK",FALSE,560,NA,2020-02-20 15:02:51,TRUE,NA,"1230508117835665411",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",133,FALSE,FALSE,NA,NA
"@CricketopiaCom correction: @babarazam258 ?",FALSE,342,"CricketopiaCom",2020-02-20 14:45:13,FALSE,"1230502149341118465","1230503681088348161","741327511901048832","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",99,FALSE,FALSE,NA,NA
"The media takes notice: https://t.co/ULBaoDqwpH",FALSE,264,"ShashiTharoor",2020-02-20 14:43:38,FALSE,"1230378858664218624","1230503281262096386","24705126","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",53,FALSE,FALSE,NA,NA
"Some exquisite images of Thiruvananthapuram's Poovar area, by Najeeb Raffic: https://t.co/NNiSReEC1P
Calling all to… https://t.co/15d6TDz9Lb",FALSE,149,NA,2020-02-20 13:57:54,TRUE,NA,"1230491773106999296",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",29,FALSE,FALSE,NA,NA
"New Hindu temple to be built in Dubai's JebelAli area:
https://t.co/CqpmZyH665
I think some people in Delhi could l… https://t.co/G3b4wnq3xu",FALSE,1743,NA,2020-02-20 13:52:15,TRUE,NA,"1230490349841203205",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",362,FALSE,FALSE,NA,NA
"Wonder what the bigots in our Hindutva establishment will make of this? A Lingayat matha in Karnataka has just appo… https://t.co/UIVY4tAr3e",FALSE,3607,NA,2020-02-20 13:39:30,TRUE,NA,"1230487143329353729",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",705,FALSE,FALSE,NA,NA
"Awful news: 20 blameless passengers killed in a @KSRTC_Journeys bus-lorry crash near Tirupur:… https://t.co/816QgxJppj",FALSE,168,NA,2020-02-20 13:21:23,TRUE,NA,"1230482580111269890",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",18,FALSE,FALSE,NA,NA
"Why the BJP Govt, &amp; not just the Supreme Court, is to blame for the crisis in the telecoms industry: https://t.co/iKkoJbqbeB",FALSE,514,NA,2020-02-20 13:01:49,FALSE,NA,"1230477658976161792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",92,FALSE,FALSE,NA,NA
"A few brief (5 mins) reflections on journalism, in a dialogue with Essma Agarwal on the occasion of @talkjournalism… https://t.co/uNtu5D7h2B",FALSE,128,NA,2020-02-20 12:57:23,TRUE,NA,"1230476542360178689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",21,FALSE,FALSE,NA,NA
"A VERY short speech on education (3 mins) in English (after a shorter intro in Malayalam) at the experimental Isa V… https://t.co/IpGHcVnRcK",FALSE,214,NA,2020-02-20 12:51:08,TRUE,NA,"1230474967403376643",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",37,FALSE,FALSE,NA,NA
"Teaser promo for my informal dialogue on life with Swami Gururatnam Jnana Tapaswi for @santhigirinews : https://t.co/mwXkaPnBMH",FALSE,103,NA,2020-02-20 12:31:53,FALSE,NA,"1230470126190743553",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",18,FALSE,FALSE,NA,NA
"It's a matter of pride that @INCIndia doesn't just point to the Central Govt's sins. It takes action promptly again… https://t.co/nGUeWr2t6x",FALSE,3197,NA,2020-02-20 12:15:55,TRUE,NA,"1230466107233861632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",622,FALSE,FALSE,NA,NA
"RT @jijoy_matt: This message is short but speaks to millions hearts. 
 Long Live the Unity of Hindu-Muslim-Sikh-Isai! https://t.co/1ocWVp9k…",FALSE,0,NA,2020-02-20 11:55:32,FALSE,NA,"1230460977822330882",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",443,TRUE,FALSE,NA,NA
"RT @SalmanNizami_: 200 Days of Kashmir Blockade!

Do Join at - Jantar Mantar today from 2 pm to 5 pm.

Use hashtag; 
#StandWithJammuKashmir…",FALSE,0,NA,2020-02-20 08:09:16,FALSE,NA,"1230404034726526976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",155,TRUE,FALSE,NA,NA
"Deeply honoured to have been chosen for the annual Shihab Thangal Award in the name of the great secular democratic… https://t.co/fM7ymXDpUR",FALSE,400,NA,2020-02-20 07:50:59,TRUE,NA,"1230399435340832768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",57,FALSE,FALSE,NA,NA
"Wish the ShaheenBagh mediators well. But easier if @AmitShah simply declared that(1)the NPR will not ask for parent… https://t.co/iD1JQzkqVf",FALSE,7770,NA,2020-02-20 06:46:06,TRUE,NA,"1230383105908727808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",1692,FALSE,FALSE,NA,NA
"Some have asked who should vote &amp; for what. I was referring to my earlier call eight months ago for elections among… https://t.co/xcwawMPyud",FALSE,915,"ShashiTharoor",2020-02-20 06:29:13,TRUE,"1230365689665376258","1230378858664218624","24705126","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",148,FALSE,FALSE,NA,NA
"What <U+2066>@SandeepDikshit<U+2069> said openly is what dozens of party leaders from across the country are saying privately, in… https://t.co/vuXD2KMKaK",FALSE,4199,NA,2020-02-20 05:36:54,TRUE,NA,"1230365689665376258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",760,FALSE,FALSE,NA,NA
"Fascinating. So the EU has brought stolen cultural artefacts into the Brexit discussions. Maybe we can get the Kohi… https://t.co/kGprmG8zAH",FALSE,1850,NA,2020-02-19 21:46:01,TRUE,NA,"1230247190552969216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",297,FALSE,FALSE,NA,NA
"Desh ke accused gaddaaron ko due process do. Saboot leke aao adalat mein. Adalat ko saza dene do. India should be r… https://t.co/lO6blFoq6f",FALSE,2899,NA,2020-02-19 17:01:38,TRUE,NA,"1230175623596740609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",549,FALSE,FALSE,NA,NA
"Touched to be honoured by members of the <U+2066>@MahilaCongress<U+2069> recently for my Sahitya Akademi award. Keralites arguabl… https://t.co/cNqSTHZl0N",FALSE,1271,NA,2020-02-19 16:30:11,TRUE,NA,"1230167706403360768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",136,FALSE,FALSE,NA,NA
"RT @RajAIPC: <U+092F><U+0947> <U+091C><U+0928><U+0924><U+093E> <U+0915><U+0940> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0939><U+0948><U+0902>|

31513 vacancies are filled by @RajGovOfficial.
Big thanks to @ashokgehlot51 ji, @SachinPilot ji and all…",FALSE,0,NA,2020-02-19 14:45:13,FALSE,NA,"1230141290429313024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",31,TRUE,FALSE,NA,NA
"RT @ProfCong: Update to our @ProfCong Delhi State Unit. Congratulations @bansalavani ! https://t.co/asF5ulXFxe",FALSE,0,NA,2020-02-19 14:44:59,FALSE,NA,"1230141234234048512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",38,TRUE,FALSE,NA,NA
"@sanjida_iqbal @s_szama @imteyazkhizar @Husnashaikh177 @INCTharoorian @JayasreeVijayan @HusnaPervez @Drsheikhamina… https://t.co/aklFm7fQIJ",FALSE,46,"sanjida_iqbal",2020-02-19 14:41:20,TRUE,"1230083560972832768","1230140316306432006","2854668410","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",11,FALSE,FALSE,NA,NA
"Have you heard Mahatma Gandhi's own voice? Here's it is,  recorded in Kingsley Hall, London on October 20, 1931, re… https://t.co/pzf7dfi0pR",FALSE,4282,NA,2020-02-19 14:10:58,TRUE,NA,"1230132671273041921",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",1068,FALSE,FALSE,NA,NA
"RT @jijoy_matt: Lakhs of Srilankan Tamil Hindus still stay in the camps of Tamil Nadu as refugees. Why did Modi Govt. exclude them from the…",FALSE,0,NA,2020-02-19 13:38:36,FALSE,NA,"1230124528681934855",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",316,TRUE,FALSE,NA,NA
"Apologies to all. Have fallen ill with bad throat congestion/cough/cold. Doctor has ordered three days of strict be… https://t.co/35Fsrpfwyo",FALSE,1363,NA,2020-02-19 13:35:11,TRUE,NA,"1230123665171238913",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",139,FALSE,FALSE,NA,NA
"It was a privilege today to be asked to honour the legendary Justice Fathima Beevi, the first woman justice of the… https://t.co/gO2lYTIehv",FALSE,1475,NA,2020-02-19 12:35:25,TRUE,NA,"1230108626234171393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",229,FALSE,FALSE,NA,NA
"Inaugurated the Founders’ Day celebrations of the TKM educational institutions in Kollam today w/speech commemorati… https://t.co/gMMVkbv99h",FALSE,269,NA,2020-02-19 12:32:48,TRUE,NA,"1230107966474309633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",45,FALSE,FALSE,NA,NA
"My speech to the Convocation ceremony of the St John's National Academy of Health Sciences [St John's Medical Colle… https://t.co/C6lWDMojLu",FALSE,312,NA,2020-02-19 12:25:41,TRUE,NA,"1230106178790678529",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShashiTharoor",43,FALSE,FALSE,NA,NA
"RT @NilChristopher: India's ruling party used AI-generated Deepfakes videos for online election campaigning targeting 15 million people via…",FALSE,0,NA,2020-02-19 07:55:35,FALSE,NA,"1230038205778427904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",2274,TRUE,FALSE,NA,NA
"RT @INCTharoorian: @ShashiTharoor @Debbie_abrahams Refusing to admit a critic into our country is conduct really unworthy of a democracy. I…",FALSE,0,NA,2020-02-19 07:54:26,FALSE,NA,"1230037913145970689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",18,TRUE,FALSE,NA,NA
"@anthonyhistoryk @KabirPandit Ah there’s always room for an exception....",FALSE,36,"anthonyhistoryk",2020-02-19 07:51:44,FALSE,"1230027641073225728","1230037233765244928","308011802","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",3,FALSE,FALSE,NA,NA
"@HemangJangla Never picked my nose in my life! Was taught early to use a handkerchief or a tissue.",FALSE,2548,"HemangJangla",2020-02-19 07:51:18,FALSE,"1230027845495377921","1230037124763676672","2812915358","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",72,FALSE,FALSE,NA,NA
"@KabirPandit Since when are they “my” Marxist historians?! No one who has read any of my writings will imagine I ha… https://t.co/sd5OAhnAml",FALSE,329,"KabirPandit",2020-02-19 06:25:46,TRUE,"1229995797405749248","1230015602590281728","104587383","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",24,FALSE,FALSE,NA,NA
"The <U+2066>@Debbie_abrahams<U+2069> deportation saga: the Govt has succeeded in making a martyr of a relatively obscure British… https://t.co/EZiHkFPXt3",FALSE,2936,NA,2020-02-19 06:18:32,TRUE,NA,"1230013780710453248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",652,FALSE,FALSE,NA,NA
"Warrior, leader, hero, master tactician, far-seeing visionary: #ShivajiMaharaj https://t.co/1JbrqsQuJD",FALSE,5502,NA,2020-02-19 05:05:40,FALSE,NA,"1229995444140310530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",589,FALSE,FALSE,NA,NA
"Sahitya Akademi''s ''Festival of Letters'' to begin from Feb 24. Will be back in Delhi on 25th to participate but b… https://t.co/SRekKgsR1x",FALSE,151,NA,2020-02-19 03:36:53,TRUE,NA,"1229973099493253120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",28,FALSE,FALSE,NA,NA
"Addressed a crowded Kerala University conference hall yesterday afternoon on “The Making of a Nation: Revisiting Ne… https://t.co/HIcyW4Ef2a",FALSE,334,NA,2020-02-19 03:28:08,TRUE,NA,"1229970897064194048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",44,FALSE,FALSE,NA,NA
"Addressed <U+2066>@FollowCII<U+2069>’s 125th anniversary leadership conclave in Thiruvananthapuram on the subject “Leadership Les… https://t.co/TDxJ5UNd4P",FALSE,151,NA,2020-02-19 03:22:10,TRUE,NA,"1229969396820402176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",30,FALSE,FALSE,NA,NA
"Delighted to present the first LIC insurance certificate to a registered Kerala caterer. Glad to see increasing pro… https://t.co/Yt00V2gBcN",FALSE,178,NA,2020-02-19 03:17:21,TRUE,NA,"1229968182984622080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",22,FALSE,FALSE,NA,NA
"Inaugurated the District conference of the Confederation of All-Kerala Caterers. Stressed the importance of hygiene… https://t.co/CMGk952EHV",FALSE,146,NA,2020-02-19 03:14:19,TRUE,NA,"1229967419801661441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShashiTharoor",26,FALSE,FALSE,NA,NA
